ホール番号,Par,距離,HDCP,ドッグレッグ,高低差,バックティー,フロントティー,レディースティー,ハザード,OB,説明
1,4,395,3,straight,flat,426,348,,グリーン奥に池、ガードバンカー,左側OB,受けグリーン。奥の池があるためオーバー禁物
2,4,359,7,straight,flat,419,359,,クロスバンカー,左側OB,やや右狙い。左OB率32%
3,3,156,15,straight,downhill,177,138,,ガードバンカー,右側OB,打ち下ろしのショート。手前から攻める
4,4,395,9,straight,downhill,438,395,,クロスバンカー、セカンド地点に池,左右OB,距離が長い難ホール。クロスバンカーの右狙い
5,4,328,5,right,uphill,378,330,,左右クロスバンカー,左右OB,右ドッグレッグ。両サイドOBで正確なティーショットが必要
6,5,487,17,left,uphill,532,477,,大型ガードバンカー,左右OB、左グリーン近辺OB,左ドッグレッグのロング。グリーン周辺の左OB注意
7,3,152,11,straight,downhill,190,113,,左ガードバンカー,左OB,打ち下ろしのショート。二段グリーンのピン位置に注意
8,4,299,1,straight,flat,444,282,,クロスバンカー（100Y地点）、池越え,右側OB,コース最難関。饅頭型（砲台）グリーン
9,5,521,13,straight,flat,566,516,,左に池、クロスバンカー,右OB（セカンド付近）,距離のあるロング。左の池と右OBの間を通す。二段グリーン
10,5,458,16,left,flat,529,459,,バンカー,右側OB,左ドッグレッグ。右OB率43%。すり鉢状受けグリーン
11,4,378,2,straight,flat,404,322,,バンカー,左側OB,難易度HDCP2。砲台グリーンへのアプローチが鍵
12,4,336,8,straight,flat,397,314,,バンカー,左右OB,S字のミドル。OB率59%と極めて高い。正確なショット必須
13,4,380,10,left,flat,392,301,,池越え、バンカー,左右OB,左ドッグレッグで池越え
14,3,157,4,straight,downhill,200,144,,バンカー,左OB,打ち下ろしのショート。バックからは200Y
15,5,501,18,left,flat,524,469,,ガードバンカー,左右OB,難易度2位。左右OB率50%。砲台受けグリーン
16,3,125,12,straight,uphill,141,99,,バンカー,右OB,短いショート。バンカー率37%。二段グリーン
17,4,392,6,straight,flat,419,376,,バンカー,左OB,距離が長いミドル。左OB率35%
18,4,380,14,straight,downhill,389,363,,左ガードバンカー,,OBなし（OB率最低11%）。左山裾狙いで攻められる
